"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/1988","128.58","128.58","129.26","128.56","","-0.40%"
"03/03/1988","129.10","129.10","129.42","128.87","","-0.24%"
"03/02/1988","129.42","129.42","129.59","128.27","","0.80%"
"03/01/1988","128.38","128.38","128.68","128.15","","0.15%"
"02/29/1988","128.19","128.19","128.46","127.83","","-0.12%"
"02/26/1988","128.34","128.34","128.66","127.97","","-0.06%"
"02/25/1988","128.42","128.42","129.73","128.07","","-0.23%"
"02/24/1988","128.71","128.71","128.97","128.46","","-0.13%"
"02/23/1988","128.87","128.87","129.34","128.24","","-0.29%"
"02/22/1988","129.24","129.24","130.02","129.07","","-0.72%"
"02/19/1988","130.18","130.18","130.69","129.69","","-0.05%"
"02/18/1988","130.24","130.24","130.37","129.54","","0.13%"
"02/17/1988","130.08","130.08","130.59","129.93","","-0.20%"
"02/16/1988","130.34","130.34","130.63","129.98","","0.23%"
"02/15/1988","130.04","130.04","131.59","129.93","","-0.71%"
"02/12/1988","130.98","130.98","131.88","129.17","","1.30%"
"02/11/1988","129.30","129.30","129.34","128.78","","0.25%"
"02/10/1988","128.97","128.97","129.20","128.54","","0.23%"
"02/09/1988","128.68","128.68","129.34","128.68","","-0.15%"
"02/08/1988","128.87","128.87","129.54","128.44","","-0.36%"
"02/05/1988","129.34","129.34","129.39","127.60","","1.15%"
"02/04/1988","127.88","127.88","129.20","127.78","","-0.25%"
"02/03/1988","128.19","128.19","128.44","127.58","","0.00%"
"02/02/1988","128.19","128.19","129.32","128.07","","-0.89%"
"02/01/1988","129.34","129.34","129.59","128.19","","1.07%"
"01/29/1988","127.97","127.97","128.03","126.92","","0.79%"
"01/28/1988","126.97","126.97","127.29","126.73","","-0.03%"
"01/27/1988","127.02","127.02","128.03","126.88","","-0.43%"
"01/26/1988","127.56","127.56","128.19","127.25","","-0.36%"
"01/25/1988","128.03","128.03","128.07","127.29","","0.66%"
"01/22/1988","127.19","127.19","128.03","126.92","","0.00%"
"01/21/1988","127.19","127.19","127.78","126.34","","-0.02%"
"01/20/1988","127.21","127.21","128.97","127.02","","-0.97%"
"01/19/1988","128.46","128.46","129.88","128.22","","-0.95%"
"01/18/1988","129.69","129.69","131.84","129.39","","-1.02%"
"01/15/1988","131.02","131.02","131.02","125.95","","4.01%"
"01/14/1988","125.97","125.97","127.21","125.92","","-1.01%"
"01/13/1988","127.25","127.25","127.49","125.28","","-0.08%"
"01/12/1988","127.34","127.34","128.44","127.02","","-0.89%"
"01/11/1988","128.49","128.49","128.69","127.69","","0.13%"
"01/08/1988","128.32","128.32","130.29","128.15","","-1.49%"
"01/07/1988","130.26","130.26","130.72","127.69","","0.72%"
"01/06/1988","129.32","129.32","131.69","126.62","","0.86%"
"01/05/1988","128.22","128.22","128.32","122.78","","4.12%"
"01/04/1988","123.15","123.15","123.25","120.18","","1.77%"
"12/31/1987","121.01","121.01","123.25","120.78","","-1.73%"
"12/30/1987","123.15","123.15","123.68","123.15","","-0.22%"
"12/29/1987","123.42","123.42","123.72","122.98","","-0.03%"
"12/28/1987","123.45","123.45","123.92","122.75","","-1.33%"
"12/25/1987","125.12","125.12","125.92","125.05","","-0.27%"
"12/24/1987","125.45","125.45","126.65","125.45","","-0.79%"
"12/23/1987","126.45","126.45","127.12","125.75","","0.16%"
"12/22/1987","126.25","126.25","126.99","126.08","","-0.16%"
"12/21/1987","126.45","126.45","127.22","126.39","","-0.39%"
"12/18/1987","126.95","126.95","127.32","125.38","","0.96%"
"12/17/1987","125.75","125.75","126.69","125.72","","-0.87%"
"12/16/1987","126.85","126.85","127.79","126.75","","-0.52%"
"12/15/1987","127.52","127.52","128.12","126.65","","-0.34%"
"12/14/1987","127.95","127.95","128.35","127.32","","-0.23%"
"12/11/1987","128.25","128.25","129.05","127.92","","-0.62%"
"12/10/1987","129.05","129.05","132.23","128.89","","-2.30%"
"12/09/1987","132.09","132.09","132.53","131.82","","-0.33%"
"12/08/1987","132.52","132.52","133.29","132.49","","-0.30%"
"12/07/1987","132.93","132.93","132.99","132.32","","0.35%"
"12/04/1987","132.46","132.46","133.63","131.79","","-0.25%"
"12/03/1987","132.79","132.79","133.06","131.76","","0.30%"
"12/02/1987","132.39","132.39","133.89","132.32","","-0.68%"
"12/01/1987","133.29","133.29","133.36","131.99","","0.76%"
"11/30/1987","132.29","132.29","132.79","131.82","","-0.75%"
"11/27/1987","133.29","133.29","134.36","133.23","","-0.84%"
"11/26/1987","134.43","134.43","134.79","134.36","","-0.30%"
"11/25/1987","134.83","134.83","134.86","134.16","","0.17%"
"11/24/1987","134.59","134.59","135.50","134.46","","-0.05%"
"11/23/1987","134.66","134.66","135.13","134.16","","-0.54%"
"11/20/1987","135.40","135.40","135.96","133.86","","0.05%"
"11/19/1987","135.33","135.33","136.06","134.43","","0.15%"
"11/18/1987","135.13","135.13","136.13","134.93","","-0.30%"
"11/17/1987","135.53","135.53","137.43","135.29","","-0.44%"
"11/16/1987","136.13","136.13","137.43","135.76","","0.42%"
"11/13/1987","135.56","135.56","136.23","135.46","","-0.12%"
"11/12/1987","135.73","135.73","136.56","134.49","","0.64%"
"11/11/1987","134.86","134.86","135.50","133.96","","0.15%"
"11/10/1987","134.66","134.66","135.36","133.06","","0.30%"
"11/09/1987","134.26","134.26","135.03","133.93","","-0.40%"
"11/06/1987","134.79","134.79","135.60","134.26","","-0.05%"
"11/05/1987","134.86","134.86","136.53","134.33","","-1.22%"
"11/04/1987","136.53","136.53","137.50","136.33","","-0.56%"
"11/03/1987","137.30","137.30","137.73","135.90","","0.29%"
"11/02/1987","136.90","136.90","137.93","136.63","","-1.01%"
"10/30/1987","138.30","138.30","139.17","137.97","","-0.24%"
"10/29/1987","138.63","138.63","138.93","136.73","","0.05%"
"10/28/1987","138.57","138.57","141.20","137.93","","-1.70%"
"10/27/1987","140.97","140.97","142.27","140.74","","-0.94%"
"10/26/1987","142.30","142.30","142.47","140.94","","0.54%"
"10/23/1987","141.54","141.54","144.67","141.54","","-2.28%"
"10/22/1987","144.84","144.84","144.94","143.34","","0.23%"
"10/21/1987","144.51","144.51","144.71","143.07","","0.39%"
"10/20/1987","143.94","143.94","144.37","141.60","","1.17%"
"10/19/1987","142.27","142.27","142.34","140.27","","-0.05%"
"10/16/1987","142.34","142.34","142.97","142.04","","0.21%"
"10/15/1987","142.04","142.04","142.67","141.50","","-0.14%"
"10/14/1987","142.24","142.24","144.27","142.14","","-1.21%"
"10/13/1987","143.97","143.97","144.21","142.64","","0.70%"
"10/12/1987","142.97","142.97","144.14","142.94","","-0.44%"
"10/09/1987","143.60","143.60","144.37","143.34","","-0.51%"
"10/08/1987","144.34","144.34","145.51","143.77","","-0.51%"
"10/07/1987","145.07","145.07","146.68","144.94","","-1.02%"
"10/06/1987","146.57","146.57","146.98","146.11","","0.02%"
"10/05/1987","146.54","146.54","147.41","146.44","","-0.23%"
"10/02/1987","146.88","146.88","146.88","145.67","","0.52%"
"10/01/1987","146.11","146.11","147.51","145.97","","-0.23%"
"09/30/1987","146.44","146.44","146.81","145.51","","-0.05%"
"09/29/1987","146.51","146.51","146.51","144.17","","1.53%"
"09/28/1987","144.30","144.30","144.34","143.74","","0.65%"
"09/25/1987","143.37","143.37","143.94","143.00","","0.09%"
"09/24/1987","143.24","143.24","144.07","143.17","","-0.42%"
"09/23/1987","143.84","143.84","144.47","143.57","","-0.30%"
"09/22/1987","144.27","144.27","144.31","142.74","","0.91%"
"09/21/1987","142.97","142.97","143.54","142.74","","0.35%"
"09/18/1987","142.47","142.47","143.60","142.34","","-0.74%"
"09/17/1987","143.54","143.54","144.21","142.97","","-0.12%"
"09/16/1987","143.71","143.71","144.34","143.27","","0.19%"
"09/15/1987","143.44","143.44","144.71","143.44","","-0.74%"
"09/14/1987","144.51","144.51","144.87","143.17","","0.49%"
"09/11/1987","143.80","143.80","144.04","140.77","","1.03%"
"09/10/1987","142.34","142.34","142.80","141.70","","0.33%"
"09/09/1987","141.87","141.87","142.20","140.84","","0.24%"
"09/08/1987","141.54","141.54","141.93","141.27","","-0.17%"
"09/07/1987","141.78","141.78","142.39","141.49","","-0.09%"
"09/04/1987","141.90","141.90","142.20","140.54","","0.64%"
"09/03/1987","141.00","141.00","141.68","140.29","","0.23%"
"09/02/1987","140.68","140.68","141.29","140.54","","-0.50%"
"09/01/1987","141.39","141.39","142.12","141.29","","-0.74%"
"08/31/1987","142.44","142.44","142.59","141.58","","0.45%"
"08/28/1987","141.80","141.80","143.34","141.15","","0.09%"
"08/27/1987","141.68","141.68","143.05","141.63","","-0.84%"
"08/26/1987","142.88","142.88","144.20","142.54","","-0.49%"
"08/25/1987","143.59","143.59","143.73","141.78","","1.17%"
"08/24/1987","141.93","141.93","143.37","140.78","","-0.15%"
"08/21/1987","142.15","142.15","144.78","142.10","","-1.72%"
"08/20/1987","144.64","144.64","144.98","143.39","","0.63%"
"08/19/1987","143.73","143.73","146.30","143.68","","-1.69%"
"08/18/1987","146.20","146.20","149.25","145.51","","-2.00%"
"08/17/1987","149.18","149.18","150.45","149.13","","-0.54%"
"08/14/1987","149.98","149.98","152.47","149.40","","-1.00%"
"08/13/1987","151.50","151.50","151.57","151.06","","0.27%"
"08/12/1987","151.08","151.08","151.59","150.98","","-0.06%"
"08/11/1987","151.18","151.18","151.94","150.74","","0.13%"
"08/10/1987","150.98","150.98","151.79","150.64","","-0.50%"
"08/07/1987","151.74","151.74","151.81","150.94","","0.23%"
"08/06/1987","151.40","151.40","151.50","150.50","","0.39%"
"08/05/1987","150.81","150.81","151.79","150.42","","-0.64%"
"08/04/1987","151.79","151.79","152.08","150.94","","0.34%"
"08/03/1987","151.28","151.28","151.50","149.79","","0.86%"
"07/31/1987","149.98","149.98","150.08","148.79","","0.33%"
"07/30/1987","149.49","149.49","150.86","149.30","","-0.86%"
"07/29/1987","150.79","150.79","150.79","149.79","","0.44%"
"07/28/1987","150.13","150.13","151.08","149.98","","-0.31%"
"07/27/1987","150.59","150.59","150.69","148.71","","0.80%"
"07/24/1987","149.40","149.40","151.16","149.40","","-1.18%"
"07/23/1987","151.18","151.18","152.23","150.50","","-0.72%"
